,ds,na,cb_type,lr,algo,loss,sz,nf,rawloss
279,mslr1,10,dr,learning_rate:0.03,bag:8:greedify:dr,0.889188,,,0.889188
280,mslr1,10,ips,learning_rate:0.03,bag:8:greedify:ips,0.859125,,,0.859125
281,mslr1,10,mtr,learning_rate:0.03,bag:8:greedify:mtr,0.862313,,,0.862313
282,mslr1,10,dr,learning_rate:0.1,bag:8:greedify:dr,0.871125,,,0.871125
283,mslr1,10,ips,learning_rate:0.1,bag:8:greedify:ips,0.852125,,,0.852125
284,mslr1,10,mtr,learning_rate:0.1,bag:8:greedify:mtr,0.833313,,,0.833313
285,mslr1,10,dr,learning_rate:0.3,bag:8:greedify:dr,0.860563,,,0.860563
286,mslr1,10,ips,learning_rate:0.3,bag:8:greedify:ips,0.853812,,,0.853812
287,mslr1,10,mtr,learning_rate:0.3,bag:8:greedify:mtr,0.82275,,,0.82275
288,mslr1,10,dr,learning_rate:1.0,bag:8:greedify:dr,0.842375,,,0.842375
289,mslr1,10,ips,learning_rate:1.0,bag:8:greedify:ips,0.847187,,,0.847187
290,mslr1,10,mtr,learning_rate:1.0,bag:8:greedify:mtr,0.820438,,,0.820438
291,mslr1,10,dr,learning_rate:3.0,bag:8:greedify:dr,0.845625,,,0.845625
292,mslr1,10,ips,learning_rate:3.0,bag:8:greedify:ips,0.844875,,,0.844875
293,mslr1,10,mtr,learning_rate:3.0,bag:8:greedify:mtr,0.818625,,,0.818625
294,mslr1,10,dr,learning_rate:10.0,bag:8:greedify:dr,0.847063,,,0.847063
295,mslr1,10,ips,learning_rate:10.0,bag:8:greedify:ips,0.849938,,,0.849938
296,mslr1,10,mtr,learning_rate:10.0,bag:8:greedify:mtr,0.823313,,,0.823313
297,mslr1,10,dr,learning_rate:0.001,bag:16:greedify:dr,0.893125,,,0.893125
298,mslr1,10,ips,learning_rate:0.001,bag:16:greedify:ips,0.88625,,,0.88625
299,mslr1,10,mtr,learning_rate:0.001,bag:16:greedify:mtr,0.890938,,,0.890938
300,mslr1,10,dr,learning_rate:0.003,bag:16:greedify:dr,0.892687,,,0.892687
301,mslr1,10,ips,learning_rate:0.003,bag:16:greedify:ips,0.879687,,,0.879687
302,mslr1,10,mtr,learning_rate:0.003,bag:16:greedify:mtr,0.893437,,,0.893437
303,mslr1,10,dr,learning_rate:0.01,bag:16:greedify:dr,0.89125,,,0.89125
304,mslr1,10,ips,learning_rate:0.01,bag:16:greedify:ips,0.871875,,,0.871875
305,mslr1,10,mtr,learning_rate:0.01,bag:16:greedify:mtr,0.890437,,,0.890437
306,mslr1,10,dr,learning_rate:0.03,bag:16:greedify:dr,0.887687,,,0.887687
307,mslr1,10,ips,learning_rate:0.03,bag:16:greedify:ips,0.87125,,,0.87125
