ds,na,cb_type,lr,algo,loss,sz,nf,rawloss
loan1,2,mtr,learning_rate:0.3,bag:8:mtr,0.139717,,,0.139717
loan1,2,dr,learning_rate:1.0,bag:8:dr,0.114398,,,0.114398
loan1,2,ips,learning_rate:1.0,bag:8:ips,0.166577,,,0.166577
loan1,2,mtr,learning_rate:1.0,bag:8:mtr,0.126937,,,0.126937
loan1,2,dr,learning_rate:3.0,bag:8:dr,0.117458,,,0.117458
loan1,2,ips,learning_rate:3.0,bag:8:ips,0.187856,,,0.187856
loan1,2,mtr,learning_rate:3.0,bag:8:mtr,0.115678,,,0.115678
loan1,2,dr,learning_rate:10.0,bag:8:dr,0.131477,,,0.131477
loan1,2,ips,learning_rate:10.0,bag:8:ips,0.212076,,,0.212076
loan1,2,mtr,learning_rate:10.0,bag:8:mtr,0.122878,,,0.122878
loan1,2,dr,learning_rate:0.001,bag:16:dr,0.166797,,,0.166797
loan1,2,ips,learning_rate:0.001,bag:16:ips,0.170497,,,0.170497
loan1,2,mtr,learning_rate:0.001,bag:16:mtr,0.164597,,,0.164597
loan1,2,dr,learning_rate:0.003,bag:16:dr,0.164237,,,0.164237
loan1,2,ips,learning_rate:0.003,bag:16:ips,0.150177,,,0.150177
loan1,2,mtr,learning_rate:0.003,bag:16:mtr,0.163997,,,0.163997
loan1,2,dr,learning_rate:0.01,bag:16:dr,0.163797,,,0.163797
loan1,2,ips,learning_rate:0.01,bag:16:ips,0.134357,,,0.134357
loan1,2,mtr,learning_rate:0.01,bag:16:mtr,0.163757,,,0.163757
loan1,2,dr,learning_rate:0.03,bag:16:dr,0.163777,,,0.163777
loan1,2,ips,learning_rate:0.03,bag:16:ips,0.128357,,,0.128357
loan1,2,mtr,learning_rate:0.03,bag:16:mtr,0.163757,,,0.163757
loan1,2,dr,learning_rate:0.1,bag:16:dr,0.150217,,,0.150217
loan1,2,ips,learning_rate:0.1,bag:16:ips,0.128857,,,0.128857
loan1,2,mtr,learning_rate:0.1,bag:16:mtr,0.152417,,,0.152417
loan1,2,dr,learning_rate:0.3,bag:16:dr,0.145837,,,0.145837
loan1,2,ips,learning_rate:0.3,bag:16:ips,0.140617,,,0.140617
loan1,2,mtr,learning_rate:0.3,bag:16:mtr,0.121458,,,0.121458
loan1,2,dr,learning_rate:1.0,bag:16:dr,0.113598,,,0.113598
loan1,2,ips,learning_rate:1.0,bag:16:ips,0.158477,,,0.158477
loan1,2,mtr,learning_rate:1.0,bag:16:mtr,0.120478,,,0.120478
loan1,2,dr,learning_rate:3.0,bag:16:dr,0.117798,,,0.117798
loan1,2,ips,learning_rate:3.0,bag:16:ips,0.176996,,,0.176996
loan1,2,mtr,learning_rate:3.0,bag:16:mtr,0.115698,,,0.115698
loan1,2,dr,learning_rate:10.0,bag:16:dr,0.130977,,,0.130977
loan1,2,ips,learning_rate:10.0,bag:16:ips,0.204556,,,0.204556
loan1,2,mtr,learning_rate:10.0,bag:16:mtr,0.122718,,,0.122718
loan1,2,dr,learning_rate:0.001,bag:2:greedify:dr,0.160937,,,0.160937
loan1,2,ips,learning_rate:0.001,bag:2:greedify:ips,0.159057,,,0.159057
loan1,2,mtr,learning_rate:0.001,bag:2:greedify:mtr,0.163857,,,0.163857
loan1,2,dr,learning_rate:0.003,bag:2:greedify:dr,0.163877,,,0.163877
loan1,2,ips,learning_rate:0.003,bag:2:greedify:ips,0.146277,,,0.146277
loan1,2,mtr,learning_rate:0.003,bag:2:greedify:mtr,0.163937,,,0.163937
loan1,2,dr,learning_rate:0.01,bag:2:greedify:dr,0.162097,,,0.162097
loan1,2,ips,learning_rate:0.01,bag:2:greedify:ips,0.145457,,,0.145457
loan1,2,mtr,learning_rate:0.01,bag:2:greedify:mtr,0.163677,,,0.163677
loan1,2,dr,learning_rate:0.03,bag:2:greedify:dr,0.163177,,,0.163177
loan1,2,ips,learning_rate:0.03,bag:2:greedify:ips,0.148757,,,0.148757
loan1,2,mtr,learning_rate:0.03,bag:2:greedify:mtr,0.163597,,,0.163597
loan1,2,dr,learning_rate:0.1,bag:2:greedify:dr,0.163697,,,0.163697
loan1,2,ips,learning_rate:0.1,bag:2:greedify:ips,0.158117,,,0.158117
loan1,2,mtr,learning_rate:0.1,bag:2:greedify:mtr,0.139777,,,0.139777
loan1,2,dr,learning_rate:0.3,bag:2:greedify:dr,0.135617,,,0.135617
loan1,2,ips,learning_rate:0.3,bag:2:greedify:ips,0.171977,,,0.171977
loan1,2,mtr,learning_rate:0.3,bag:2:greedify:mtr,0.139997,,,0.139997
loan1,2,dr,learning_rate:1.0,bag:2:greedify:dr,0.149677,,,0.149677
loan1,2,ips,learning_rate:1.0,bag:2:greedify:ips,0.193576,,,0.193576
loan1,2,mtr,learning_rate:1.0,bag:2:greedify:mtr,0.119978,,,0.119978
loan1,2,dr,learning_rate:3.0,bag:2:greedify:dr,0.120658,,,0.120658
loan1,2,ips,learning_rate:3.0,bag:2:greedify:ips,0.213996,,,0.213996
loan1,2,mtr,learning_rate:3.0,bag:2:greedify:mtr,0.115398,,,0.115398
loan1,2,dr,learning_rate:10.0,bag:2:greedify:dr,0.139057,,,0.139057
loan1,2,ips,learning_rate:10.0,bag:2:greedify:ips,0.233755,,,0.233755
loan1,2,mtr,learning_rate:10.0,bag:2:greedify:mtr,0.124058,,,0.124058
loan1,2,dr,learning_rate:0.001,bag:4:greedify:dr,0.165237,,,0.165237
loan1,2,ips,learning_rate:0.001,bag:4:greedify:ips,0.158177,,,0.158177
loan1,2,mtr,learning_rate:0.001,bag:4:greedify:mtr,0.163517,,,0.163517
loan1,2,dr,learning_rate:0.003,bag:4:greedify:dr,0.164257,,,0.164257
loan1,2,ips,learning_rate:0.003,bag:4:greedify:ips,0.138057,,,0.138057
loan1,2,mtr,learning_rate:0.003,bag:4:greedify:mtr,0.163757,,,0.163757
loan1,2,dr,learning_rate:0.01,bag:4:greedify:dr,0.163737,,,0.163737
loan1,2,ips,learning_rate:0.01,bag:4:greedify:ips,0.136077,,,0.136077
loan1,2,mtr,learning_rate:0.01,bag:4:greedify:mtr,0.163897,,,0.163897
loan1,2,dr,learning_rate:0.03,bag:4:greedify:dr,0.163757,,,0.163757
loan1,2,ips,learning_rate:0.03,bag:4:greedify:ips,0.132417,,,0.132417
loan1,2,mtr,learning_rate:0.03,bag:4:greedify:mtr,0.163757,,,0.163757
loan1,2,dr,learning_rate:0.1,bag:4:greedify:dr,0.163697,,,0.163697
loan1,2,ips,learning_rate:0.1,bag:4:greedify:ips,0.139577,,,0.139577
loan1,2,mtr,learning_rate:0.1,bag:4:greedify:mtr,0.163697,,,0.163697
loan1,2,dr,learning_rate:0.3,bag:4:greedify:dr,0.163697,,,0.163697
loan1,2,ips,learning_rate:0.3,bag:4:greedify:ips,0.153157,,,0.153157
loan1,2,mtr,learning_rate:0.3,bag:4:greedify:mtr,0.123098,,,0.123098
loan1,2,dr,learning_rate:1.0,bag:4:greedify:dr,0.114338,,,0.114338
loan1,2,ips,learning_rate:1.0,bag:4:greedify:ips,0.175556,,,0.175556
loan1,2,mtr,learning_rate:1.0,bag:4:greedify:mtr,0.114218,,,0.114218
loan1,2,dr,learning_rate:3.0,bag:4:greedify:dr,0.117638,,,0.117638
loan1,2,ips,learning_rate:3.0,bag:4:greedify:ips,0.198796,,,0.198796
loan1,2,mtr,learning_rate:3.0,bag:4:greedify:mtr,0.113778,,,0.113778
loan1,2,dr,learning_rate:10.0,bag:4:greedify:dr,0.134997,,,0.134997
loan1,2,ips,learning_rate:10.0,bag:4:greedify:ips,0.220296,,,0.220296
loan1,2,mtr,learning_rate:10.0,bag:4:greedify:mtr,0.123278,,,0.123278
loan1,2,dr,learning_rate:0.001,bag:8:greedify:dr,0.166757,,,0.166757
loan1,2,ips,learning_rate:0.001,bag:8:greedify:ips,0.165897,,,0.165897
loan1,2,mtr,learning_rate:0.001,bag:8:greedify:mtr,0.163897,,,0.163897
loan1,2,dr,learning_rate:0.003,bag:8:greedify:dr,0.164377,,,0.164377
loan1,2,ips,learning_rate:0.003,bag:8:greedify:ips,0.142837,,,0.142837
loan1,2,mtr,learning_rate:0.003,bag:8:greedify:mtr,0.163977,,,0.163977
loan1,2,dr,learning_rate:0.01,bag:8:greedify:dr,0.163797,,,0.163797
loan1,2,ips,learning_rate:0.01,bag:8:greedify:ips,0.133777,,,0.133777
loan1,2,mtr,learning_rate:0.01,bag:8:greedify:mtr,0.163757,,,0.163757
loan1,2,dr,learning_rate:0.03,bag:8:greedify:dr,0.163677,,,0.163677
loan1,2,ips,learning_rate:0.03,bag:8:greedify:ips,0.128817,,,0.128817
loan1,2,mtr,learning_rate:0.03,bag:8:greedify:mtr,0.163677,,,0.163677
loan1,2,dr,learning_rate:0.1,bag:8:greedify:dr,0.163757,,,0.163757
loan1,2,ips,learning_rate:0.1,bag:8:greedify:ips,0.131817,,,0.131817
loan1,2,mtr,learning_rate:0.1,bag:8:greedify:mtr,0.141837,,,0.141837
loan1,2,dr,learning_rate:0.3,bag:8:greedify:dr,0.163717,,,0.163717
loan1,2,ips,learning_rate:0.3,bag:8:greedify:ips,0.143817,,,0.143817
loan1,2,mtr,learning_rate:0.3,bag:8:greedify:mtr,0.163697,,,0.163697
loan1,2,dr,learning_rate:1.0,bag:8:greedify:dr,0.114518,,,0.114518
loan1,2,ips,learning_rate:1.0,bag:8:greedify:ips,0.162777,,,0.162777
loan1,2,mtr,learning_rate:1.0,bag:8:greedify:mtr,0.142457,,,0.142457
loan1,2,dr,learning_rate:3.0,bag:8:greedify:dr,0.118138,,,0.118138
loan1,2,ips,learning_rate:3.0,bag:8:greedify:ips,0.186296,,,0.186296
loan1,2,mtr,learning_rate:3.0,bag:8:greedify:mtr,0.114738,,,0.114738
loan1,2,dr,learning_rate:10.0,bag:8:greedify:dr,0.131817,,,0.131817
loan1,2,ips,learning_rate:10.0,bag:8:greedify:ips,0.211636,,,0.211636
loan1,2,mtr,learning_rate:10.0,bag:8:greedify:mtr,0.123238,,,0.123238
loan1,2,dr,learning_rate:0.001,bag:16:greedify:dr,0.166997,,,0.166997
loan1,2,ips,learning_rate:0.001,bag:16:greedify:ips,0.164837,,,0.164837
loan1,2,mtr,learning_rate:0.001,bag:16:greedify:mtr,0.164177,,,0.164177
loan1,2,dr,learning_rate:0.003,bag:16:greedify:dr,0.164217,,,0.164217
loan1,2,ips,learning_rate:0.003,bag:16:greedify:ips,0.145937,,,0.145937
loan1,2,mtr,learning_rate:0.003,bag:16:greedify:mtr,0.163917,,,0.163917
loan1,2,dr,learning_rate:0.01,bag:16:greedify:dr,0.163817,,,0.163817
loan1,2,ips,learning_rate:0.01,bag:16:greedify:ips,0.137017,,,0.137017
loan1,2,mtr,learning_rate:0.01,bag:16:greedify:mtr,0.163817,,,0.163817
loan1,2,dr,learning_rate:0.03,bag:16:greedify:dr,0.145337,,,0.145337
loan1,2,ips,learning_rate:0.03,bag:16:greedify:ips,0.125697,,,0.125697
loan1,2,mtr,learning_rate:0.03,bag:16:greedify:mtr,0.163517,,,0.163517
loan1,2,dr,learning_rate:0.1,bag:16:greedify:dr,0.125037,,,0.125037
loan1,2,ips,learning_rate:0.1,bag:16:greedify:ips,0.129217,,,0.129217
loan1,2,mtr,learning_rate:0.1,bag:16:greedify:mtr,0.163837,,,0.163837
loan1,2,dr,learning_rate:0.3,bag:16:greedify:dr,0.117098,,,0.117098
loan1,2,ips,learning_rate:0.3,bag:16:greedify:ips,0.137357,,,0.137357
loan1,2,mtr,learning_rate:0.3,bag:16:greedify:mtr,0.163837,,,0.163837
loan1,2,dr,learning_rate:1.0,bag:16:greedify:dr,0.113298,,,0.113298
loan1,2,ips,learning_rate:1.0,bag:16:greedify:ips,0.156097,,,0.156097
loan1,2,mtr,learning_rate:1.0,bag:16:greedify:mtr,0.113818,,,0.113818
loan1,2,dr,learning_rate:3.0,bag:16:greedify:dr,0.117938,,,0.117938
loan1,2,ips,learning_rate:3.0,bag:16:greedify:ips,0.175756,,,0.175756
loan1,2,mtr,learning_rate:3.0,bag:16:greedify:mtr,0.114158,,,0.114158
