,ds,na,cb_type,lr,algo,loss,sz,nf,rawloss
5533,18,10,ips,learning_rate:10.0,cover:1:ips,0.8515,2000,6,0.8515
5448,18,10,dr,learning_rate:3.0,bag:4:greedify:dr,0.726,2000,6,0.726
5985,18,10,dr,learning_rate:1.0,cover:8:psi:1.0:nounif:dr,0.742,2000,6,0.742
1358,11,3,mtr,learning_rate:0.3,bag:16:greedify:mtr,0.1312,625,4,0.1312
4390,16,10,ips,learning_rate:10.0,bag:2:greedify:ips,0.8755,2000,64,0.8755
8378,3,2,dr,learning_rate:3.0,epsilon:0.05:dr,0.222153,3196,36,0.222153
7995,21,4,ips,learning_rate:0.3,cover:8:psi:0.1:ips,0.236111,1728,6,0.236111
10383,8,2,ips,learning_rate:0.001,epsilon:0.05:ips,0.049275,345,6,0.049275
5658,18,10,dr,learning_rate:0.3,cover:4:psi:0.01:nounif:dr,0.6685,2000,6,0.6685
3496,14,10,ips,learning_rate:0.003,cover:4:psi:0:ips,0.882,2000,76,0.882
9247,3,2,mtr,learning_rate:10.0,cover:16:psi:0.1:mtr,0.253442,3196,36,0.253442
1762,11,3,ips,learning_rate:0.3,cover:8:psi:0.1:ips,0.2704,625,4,0.2704
260,10,4,mtr,learning_rate:0.3,bag:4:greedify:mtr,0.297297,148,18,0.297297
8326,3,2,mtr,learning_rate:3.0,epsilon:0:mtr,0.194931,3196,36,0.194931
9454,6,26,mtr,learning_rate:10.0,epsilon:0.1:mtr,0.7787,20000,16,0.7787
5165,16,10,mtr,learning_rate:0.3,cover:16:psi:1.0:nounif:mtr,0.877,2000,64,0.877
4595,16,10,mtr,learning_rate:0.1,cover:4:psi:0.01:mtr,0.872,2000,64,0.872
4548,16,10,dr,learning_rate:3.0,cover:4:psi:0:dr,0.876,2000,64,0.876
3881,14,10,mtr,learning_rate:0.03,cover:8:psi:1.0:mtr,0.8815,2000,76,0.8815
1456,11,3,ips,learning_rate:0.01,cover:4:psi:0:nounif:ips,0.1088,625,4,0.1088
10851,8,2,ips,learning_rate:0.03,cover:4:psi:1.0:nounif:ips,0.17971,345,6,0.17971
10429,8,2,mtr,learning_rate:1.0,epsilon:0.1:mtr,0.072464,345,6,0.072464
10409,8,2,dr,learning_rate:0.001,epsilon:0.1:dr,0.078261,345,6,0.078261
2746,12,10,ips,learning_rate:1.0,cover:8:psi:0.01:ips,0.8055,2000,216,0.8055
1014,10,4,dr,learning_rate:0.3,cover:16:psi:1.0:nounif:dr,0.25,148,18,0.25
5526,18,10,dr,learning_rate:1.0,cover:1:dr,0.783,2000,6,0.783
11044,8,2,mtr,learning_rate:0.1,cover:8:psi:1.0:mtr,0.127536,345,6,0.127536
731,10,4,mtr,learning_rate:0.001,cover:8:psi:0.1:nounif:mtr,0.310811,148,18,0.310811
8933,3,2,dr,learning_rate:0.03,cover:8:psi:0:nounif:dr,0.193367,3196,36,0.193367
1845,11,3,dr,learning_rate:1.0,cover:8:psi:1.0:nounif:dr,0.1872,625,4,0.1872
9459,6,26,ips,learning_rate:0.003,bag:2:ips,0.9492,20000,16,0.9492
5769,18,10,dr,learning_rate:1.0,cover:4:psi:1.0:nounif:dr,0.6815,2000,6,0.6815
10952,8,2,dr,learning_rate:0.003,cover:8:psi:0.01:nounif:dr,0.014493,345,6,0.014493
986,10,4,mtr,learning_rate:0.1,cover:16:psi:1.0:mtr,0.412162,148,18,0.412162
2798,12,10,mtr,learning_rate:0.3,cover:8:psi:0.1:mtr,0.7785,2000,216,0.7785
11237,8,2,dr,learning_rate:1.0,cover:16:psi:0.1:nounif:dr,0.017391,345,6,0.017391
528,10,4,dr,learning_rate:0.3,cover:4:psi:0.1:nounif:dr,0.141892,148,18,0.141892
8677,3,2,mtr,learning_rate:3.0,cover:1:nounif:mtr,0.194931,3196,36,0.194931
598,10,4,ips,learning_rate:0.003,cover:8:psi:0:ips,0.317568,148,18,0.317568
8045,21,4,dr,learning_rate:0.1,cover:8:psi:1.0:dr,0.20081,1728,6,0.20081
6503,20,10,dr,learning_rate:1.0,bag:4:greedify:dr,0.718,2000,240,0.718
2086,12,10,ips,learning_rate:0.01,epsilon:0:ips,0.678,2000,216,0.678
2032,11,3,ips,learning_rate:0.3,cover:16:psi:1.0:ips,0.328,625,4,0.328
3841,14,10,ips,learning_rate:10.0,cover:8:psi:0.1:ips,0.887,2000,76,0.887
7959,21,4,ips,learning_rate:0.01,cover:8:psi:0.01:nounif:ips,0.166088,1728,6,0.166088
6182,18,10,mtr,learning_rate:10.0,cover:16:psi:1.0:mtr,0.8525,2000,6,0.8525
3915,14,10,dr,learning_rate:1.0,cover:8:psi:1.0:nounif:dr,0.8885,2000,76,0.8885
8865,3,2,ips,learning_rate:3.0,cover:4:psi:1.0:ips,0.274718,3196,36,0.274718
3535,14,10,ips,learning_rate:0.3,cover:4:psi:0:nounif:ips,0.8845,2000,76,0.8845
3636,14,10,dr,learning_rate:0.03,cover:4:psi:0.1:nounif:dr,0.8405,2000,76,0.8405
9050,3,2,dr,learning_rate:1.0,cover:8:psi:0.1:nounif:dr,0.186483,3196,36,0.186483
4463,16,10,mtr,learning_rate:0.3,bag:16:greedify:mtr,0.869,2000,64,0.869
4001,14,10,mtr,learning_rate:3.0,cover:16:psi:0.01:mtr,0.8855,2000,76,0.8855
10356,8,2,ips,learning_rate:0.001,epsilon:0.02:ips,0.026087,345,6,0.026087
6020,18,10,mtr,learning_rate:10.0,cover:16:psi:0:mtr,0.848,2000,6,0.848
2927,12,10,mtr,learning_rate:0.03,cover:16:psi:0:nounif:mtr,0.735,2000,216,0.735
7459,21,4,mtr,learning_rate:1.0,bag:8:mtr,0.097222,1728,6,0.097222
10897,8,2,mtr,learning_rate:0.001,cover:8:psi:0:nounif:mtr,0.011594,345,6,0.011594
8976,3,2,ips,learning_rate:10.0,cover:8:psi:0.01:ips,0.267835,3196,36,0.267835
1892,11,3,mtr,learning_rate:0.03,cover:16:psi:0:nounif:mtr,0.1456,625,4,0.1456
9265,3,2,mtr,learning_rate:0.3,cover:16:psi:0.1:nounif:mtr,0.213079,3196,36,0.213079
9611,6,26,dr,learning_rate:3.0,bag:4:greedify:dr,0.7818,20000,16,0.7818
399,10,4,dr,learning_rate:3.0,cover:4:psi:0:dr,0.364865,148,18,0.364865
5816,18,10,mtr,learning_rate:0.03,cover:8:psi:0:nounif:mtr,0.788,2000,6,0.788
8170,21,4,mtr,learning_rate:0.001,cover:16:psi:0.01:nounif:mtr,0.274884,1728,6,0.274884
739,10,4,ips,learning_rate:0.03,cover:8:psi:0.1:nounif:ips,0.236486,148,18,0.236486
726,10,4,dr,learning_rate:10.0,cover:8:psi:0.1:dr,0.310811,148,18,0.310811
6045,18,10,dr,learning_rate:10.0,cover:16:psi:0:nounif:dr,0.667,2000,6,0.667
5767,18,10,ips,learning_rate:0.3,cover:4:psi:1.0:nounif:ips,0.846,2000,6,0.846
744,10,4,dr,learning_rate:0.3,cover:8:psi:0.1:nounif:dr,0.141892,148,18,0.141892
4997,16,10,mtr,learning_rate:0.03,cover:16:psi:0:nounif:mtr,0.881,2000,64,0.881
4246,16,10,ips,learning_rate:0.3,epsilon:0.1:ips,0.8805,2000,64,0.8805
9638,6,26,dr,learning_rate:3.0,bag:8:greedify:dr,0.80025,20000,16,0.80025
8236,21,4,mtr,learning_rate:0.1,cover:16:psi:0.1:nounif:mtr,0.284722,1728,6,0.284722
9826,6,26,mtr,learning_rate:1.0,cover:4:psi:0.1:nounif:mtr,0.92155,20000,16,0.92155
902,10,4,mtr,learning_rate:0.03,cover:16:psi:0.01:nounif:mtr,0.162162,148,18,0.162162
42,10,4,dr,learning_rate:0.3,epsilon:0.02:dr,0.121622,148,18,0.121622
15,10,4,dr,learning_rate:0.3,epsilon:0:dr,0.148649,148,18,0.148649
656,10,4,mtr,learning_rate:0.01,cover:8:psi:0.01:mtr,0.290541,148,18,0.290541
3461,14,10,mtr,learning_rate:3.0,cover:1:mtr,0.8475,2000,76,0.8475
1627,11,3,ips,learning_rate:0.3,cover:4:psi:1.0:nounif:ips,0.424,625,4,0.424
10257,6,26,ips,learning_rate:1.0,cover:16:psi:0.1:nounif:ips,0.9467,20000,16,0.9467
10767,8,2,ips,learning_rate:0.01,cover:4:psi:0.1:ips,0.095652,345,6,0.095652
1409,11,3,mtr,learning_rate:0.1,cover:1:nounif:mtr,0.128,625,4,0.128
5503,18,10,ips,learning_rate:3.0,bag:16:greedify:ips,0.8365,2000,6,0.8365
6369,20,10,ips,learning_rate:1.0,bag:2:ips,0.812,2000,240,0.812
558,10,4,dr,learning_rate:1.0,cover:4:psi:1.0:dr,0.385135,148,18,0.385135
