ds,na,cb_type,lr,algo,loss,sz,nf,rawloss
loan1,15,dr,learning_rate:0.003,bag:4:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.003,bag:4:ips,405.75,,,405.75
loan1,15,mtr,learning_rate:0.003,bag:4:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.01,bag:4:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.01,bag:4:ips,405.75,,,405.75
loan1,15,mtr,learning_rate:0.01,bag:4:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.03,bag:4:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.03,bag:4:ips,374.725,,,374.725
loan1,15,mtr,learning_rate:0.03,bag:4:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.1,bag:4:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.1,bag:4:ips,358.375,,,358.375
loan1,15,mtr,learning_rate:0.1,bag:4:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.3,bag:4:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.3,bag:4:ips,309.675,,,309.675
loan1,15,mtr,learning_rate:0.3,bag:4:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:1.0,bag:4:dr,405.75,,,405.75
loan1,15,ips,learning_rate:1.0,bag:4:ips,314.425,,,314.425
loan1,15,mtr,learning_rate:1.0,bag:4:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:3.0,bag:4:dr,405.75,,,405.75
loan1,15,ips,learning_rate:3.0,bag:4:ips,238.075,,,238.075
loan1,15,mtr,learning_rate:3.0,bag:4:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:10.0,bag:4:dr,405.75,,,405.75
loan1,15,ips,learning_rate:10.0,bag:4:ips,194.3,,,194.3
loan1,15,mtr,learning_rate:10.0,bag:4:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.001,bag:8:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.001,bag:8:ips,405.75,,,405.75
loan1,15,mtr,learning_rate:0.001,bag:8:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.003,bag:8:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.003,bag:8:ips,405.75,,,405.75
loan1,15,mtr,learning_rate:0.003,bag:8:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.01,bag:8:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.01,bag:8:ips,405.75,,,405.75
loan1,15,mtr,learning_rate:0.01,bag:8:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.03,bag:8:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.03,bag:8:ips,382.275,,,382.275
loan1,15,mtr,learning_rate:0.03,bag:8:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.1,bag:8:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.1,bag:8:ips,374.6,,,374.6
loan1,15,mtr,learning_rate:0.1,bag:8:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.3,bag:8:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.3,bag:8:ips,361.7,,,361.7
loan1,15,mtr,learning_rate:0.3,bag:8:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:1.0,bag:8:dr,405.75,,,405.75
loan1,15,ips,learning_rate:1.0,bag:8:ips,342.425,,,342.425
loan1,15,mtr,learning_rate:1.0,bag:8:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:3.0,bag:8:dr,405.75,,,405.75
loan1,15,ips,learning_rate:3.0,bag:8:ips,216.525,,,216.525
loan1,15,mtr,learning_rate:3.0,bag:8:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:10.0,bag:8:dr,405.75,,,405.75
loan1,15,ips,learning_rate:10.0,bag:8:ips,175.1,,,175.1
loan1,15,mtr,learning_rate:10.0,bag:8:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.001,bag:16:dr,405.725,,,405.725
loan1,15,ips,learning_rate:0.001,bag:16:ips,405.725,,,405.725
loan1,15,mtr,learning_rate:0.001,bag:16:mtr,405.725,,,405.725
loan1,15,dr,learning_rate:0.003,bag:16:dr,405.725,,,405.725
loan1,15,ips,learning_rate:0.003,bag:16:ips,405.725,,,405.725
loan1,15,mtr,learning_rate:0.003,bag:16:mtr,405.725,,,405.725
loan1,15,dr,learning_rate:0.01,bag:16:dr,405.725,,,405.725
loan1,15,ips,learning_rate:0.01,bag:16:ips,405.725,,,405.725
loan1,15,mtr,learning_rate:0.01,bag:16:mtr,405.725,,,405.725
loan1,15,dr,learning_rate:0.03,bag:16:dr,405.725,,,405.725
loan1,15,ips,learning_rate:0.03,bag:16:ips,394.975,,,394.975
loan1,15,mtr,learning_rate:0.03,bag:16:mtr,405.725,,,405.725
loan1,15,dr,learning_rate:0.1,bag:16:dr,405.725,,,405.725
loan1,15,ips,learning_rate:0.1,bag:16:ips,380.625,,,380.625
loan1,15,mtr,learning_rate:0.1,bag:16:mtr,405.725,,,405.725
loan1,15,dr,learning_rate:0.3,bag:16:dr,405.725,,,405.725
loan1,15,ips,learning_rate:0.3,bag:16:ips,372.175,,,372.175
loan1,15,mtr,learning_rate:0.3,bag:16:mtr,405.725,,,405.725
loan1,15,dr,learning_rate:1.0,bag:16:dr,405.725,,,405.725
loan1,15,ips,learning_rate:1.0,bag:16:ips,302.25,,,302.25
loan1,15,mtr,learning_rate:1.0,bag:16:mtr,405.725,,,405.725
loan1,15,dr,learning_rate:3.0,bag:16:dr,405.725,,,405.725
loan1,15,ips,learning_rate:3.0,bag:16:ips,210.625,,,210.625
loan1,15,mtr,learning_rate:3.0,bag:16:mtr,405.725,,,405.725
loan1,15,dr,learning_rate:10.0,bag:16:dr,405.725,,,405.725
